Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,8.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,8.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,9.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.06896551724137931,1.0,0.12903225806451613,10.0,1.0,0.2
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,8.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,8.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.2
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,9.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,18.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,20.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,24.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,8.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.034482758620689655,0.5,0.06451612903225806,15.0,0.5,0.2
0.0,0.0,0.0,0.034482758620689655,0.5,0.06451612903225806,19.0,0.5,0.2
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,18.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.034482758620689655,0.5,0.06451612903225806,11.0,0.5,0.2
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,18.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.06896551724137931,1.0,0.12903225806451613,15.0,1.0,0.2
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,12.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,11.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,12.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.2
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,12.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,12.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.20689655172413793
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,8.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,8.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,8.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.2
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,12.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,17.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,13.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,26.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,7.0,0.5,0.19310344827586207
0.0,0.0,0.0,0.07142857142857142,1.0,0.13333333333333333,8.0,1.0,0.19310344827586207
0.0,0.0,0.0,0.03571428571428571,0.5,0.06666666666666667,10.0,0.5,0.19310344827586207
